GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,ProtectedMethodInFinalClassCheck,96,0,14,0,28,0,14,0,7,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,DiamondOperatorCheck,98,0,22,0,28,0,19,0,8,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,MultilineJavadocTagsCheck,149,0,20,0,38,0,19,0,9,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,ProhibitNonFinalClassesCheck,184,0,20,0,43,0,20,0,10,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,CurlyBracketsStructureCheck,109,0,16,0,32,0,17,0,9,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,NoJavadocForOverriddenMethodsCheck,37,0,4,0,11,0,7,0,5,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,ProhibitNonFinalClassesCheck.ClassDesc,21,0,0,0,8,0,4,0,4,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,LineRanges.LocalCollection,12,0,0,0,3,0,2,0,2,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,ImportCohesionCheck,114,0,22,0,27,0,14,0,3,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,MethodBodyCommentsCheck,160,0,22,0,30,0,17,0,6,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,BracketsStructureCheck,99,0,16,0,28,0,16,0,8,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,LineRanges,83,0,10,0,20,0,11,0,6,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,StringLiteralsConcatenationCheck,117,0,12,0,25,0,13,0,7,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,ConditionalRegexpMultilineCheck,47,0,6,0,12,0,6,0,3,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,JavadocParameterOrderCheck,293,0,30,0,77,0,26,0,11,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,JavadocLocationCheck,167,0,26,0,44,0,24,0,11,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,CascadeIndentationCheck,115,0,22,0,27,0,15,0,4,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,LineRange,41,0,8,0,9,0,9,0,5,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,LineRanges.LineWithAny,17,0,4,0,4,0,4,0,2,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,FinalSemicolonInTryWithResourcesCheck,30,0,2,0,9,0,6,0,5,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,MethodsOrderCheck,138,0,16,0,48,0,18,0,10,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,ConstantUsageCheck,278,0,43,0,81,0,35,0,13,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,CheckstyleListener,85,0,2,0,22,0,9,0,8,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,CheckstyleValidator,325,0,14,0,77,0,13,0,6,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,NonStaticMethodCheck,156,0,34,0,44,0,26,0,9,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,JavadocEmptyLineCheck,158,0,14,0,31,0,18,0,11,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,QualifyInnerClassCheck,18,0,0,0,4,0,4,0,4,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,JavadocTagsCheck,327,0,26,0,61,0,26,0,13,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,EmptyLinesCheck,217,0,26,0,43,0,25,0,12,0
qulice-ant/qulice-checkstyle,com.qulice.checkstyle,MethodsOrderCheck.Modifiers,110,0,0,0,18,0,6,0,6,0
qulice-ant/qulice-pmd,com.qulice.pmd,SourceValidator,170,0,2,0,36,0,6,0,5,0
qulice-ant/qulice-pmd,com.qulice.pmd,PmdValidator,92,0,4,0,22,0,5,0,3,0
qulice-ant/qulice-pmd,com.qulice.pmd,PmdListener,37,0,2,0,11,0,5,0,4,0
qulice-ant/qulice-pmd,com.qulice.pmd.rules,UnnecessaryLocalRule,107,0,16,0,29,0,13,0,5,0
qulice-ant/qulice-pmd,com.qulice.pmd.rules,ProhibitPlainJunitAssertionsRule,155,0,32,0,39,0,23,0,7,0
qulice-ant/qulice-pmd,com.qulice.pmd.rules,UseStringIsEmptyRule,225,0,24,0,47,0,19,0,7,0
qulice-ant/qulice-findbugs,com.qulice.findbugs,Wrap.new PrintingBugReporter() {...},16,0,2,0,4,0,3,0,2,0
qulice-ant/qulice-findbugs,com.qulice.findbugs,Wrap.new Function() {...},13,0,2,0,5,0,3,0,2,0
qulice-ant/qulice-findbugs,com.qulice.findbugs,Wrap,141,0,6,0,38,0,7,0,4,0
qulice-ant/qulice-findbugs,com.qulice.findbugs,FindBugsValidator,462,0,28,0,90,0,23,0,9,0
qulice-ant/qulice-spi,com.qulice.spi,Environment.Mock,255,0,32,0,59,0,32,0,16,0
qulice-ant/qulice-spi,com.qulice.spi,Violation.Default,256,0,46,0,15,0,34,0,11,0
qulice-ant/qulice-spi,com.qulice.spi,ValidationException,10,0,0,0,4,0,2,0,2,0
