GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qulice-maven-plugin/qulice-spi,com.qulice.spi,Environment.Mock,252,0,24,0,60,0,29,0,17,0
qulice-maven-plugin/qulice-spi,com.qulice.spi,Violation.Default,39,0,0,0,13,0,7,0,7,0
qulice-maven-plugin/qulice-spi,com.qulice.spi,ValidationException,10,0,0,0,4,0,2,0,2,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle.parameters,Arguments,67,0,6,0,19,0,7,0,4,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle.parameters,TypeParameters,79,0,6,0,20,0,7,0,4,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle.parameters,Parameters,69,0,8,0,21,0,7,0,3,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ProtectedMethodInFinalClassCheck,96,0,14,0,28,0,14,0,7,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,DiamondOperatorCheck,167,0,46,0,48,0,35,0,12,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,MultilineJavadocTagsCheck,165,0,18,0,38,0,18,0,9,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ProhibitNonFinalClassesCheck,184,0,20,0,43,0,20,0,10,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,CurlyBracketsStructureCheck,109,0,16,0,32,0,17,0,9,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,NoJavadocForOverriddenMethodsCheck,37,0,4,0,11,0,7,0,5,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ProhibitNonFinalClassesCheck.ClassDesc,21,0,0,0,8,0,4,0,4,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,RequiredJavaDocTag,151,0,20,0,31,0,15,0,5,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,LineRanges.LocalCollection,12,0,0,0,3,0,2,0,2,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,BracketsStructureCheck,99,0,16,0,28,0,16,0,8,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,MethodBodyCommentsCheck,160,0,22,0,30,0,17,0,6,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ImportCohesionCheck,114,0,22,0,27,0,14,0,3,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,LineRanges,83,0,10,0,20,0,11,0,6,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ConditionalRegexpMultilineCheck,47,0,6,0,12,0,6,0,3,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,StringLiteralsConcatenationCheck,117,0,12,0,25,0,13,0,7,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,JavadocParameterOrderCheck,264,0,20,0,68,0,21,0,11,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,JavadocLocationCheck,117,0,18,0,33,0,16,0,7,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,CascadeIndentationCheck,119,0,22,0,27,0,15,0,4,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,LineRange,41,0,8,0,9,0,9,0,5,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ChildStream,24,0,2,0,9,0,3,0,2,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,LineRanges.LineWithAny,17,0,4,0,4,0,4,0,2,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,FinalSemicolonInTryWithResourcesCheck,30,0,2,0,9,0,6,0,5,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,BranchContains,32,0,4,0,6,0,5,0,3,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,MethodsOrderCheck,138,0,16,0,48,0,18,0,10,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ConstantUsageCheck,291,0,49,0,83,0,38,0,13,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,CheckstyleListener,85,0,2,0,22,0,9,0,8,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,CheckstyleValidator,214,0,12,0,57,0,11,0,5,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,SingleLineCommentCheck,110,0,12,0,22,0,15,0,9,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,NonStaticMethodCheck,166,0,34,0,46,0,26,0,9,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,JavadocEmptyLineCheck,158,0,14,0,31,0,18,0,11,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,QualifyInnerClassCheck,166,0,30,0,42,0,24,0,9,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,JavadocTagsCheck,238,0,20,0,46,0,21,0,11,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,EmptyLinesCheck,219,0,26,0,45,0,25,0,12,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,ProhibitUnusedPrivateConstructorCheck,239,0,44,0,61,0,39,0,17,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,MethodsOrderCheck.Modifiers,101,0,0,0,18,0,4,0,4,0
qulice-maven-plugin/qulice-checkstyle,com.qulice.checkstyle,MultiLineCommentCheck,89,0,6,0,20,0,11,0,8,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd,PmdError.OfProcessingError,29,0,0,0,11,0,5,0,5,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd,SourceValidator,165,0,2,0,33,0,4,0,3,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd,PmdError.OfConfigError,16,0,0,0,7,0,5,0,5,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd,PmdError.OfRuleViolation,38,0,0,0,8,0,5,0,5,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd,PmdRenderer,68,0,0,0,22,0,19,0,19,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd,PmdValidator,104,0,8,0,29,0,8,0,4,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd,PmdListener,63,0,4,0,16,0,8,0,6,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd.rules,UnnecessaryLocalRule,108,0,16,0,29,0,13,0,5,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd.rules,ProhibitPlainJunitAssertionsRule,157,0,32,0,39,0,23,0,7,0
qulice-maven-plugin/qulice-pmd,com.qulice.pmd.rules,UseStringIsEmptyRule,225,0,24,0,47,0,19,0,7,0
